# ppshd_stage_1_lm.dat AMPL format


# Parameter
# N : Number of initial patients
param N := 90;

# Parameter
# t[i] : Treatment time of i-th patient in minutes
param t :=
1 30 
2 50 
3 35 
4 60 
5 60 
6 20 
7 50 
8 25 
9 20 
10 80 
11 50 
12 30 
13 40 
14 40 
15 25 
16 20 
17 20 
18 40 
19 20 
20 40 
21 40 
22 40 
23 30 
24 60 
25 30 
26 40 
27 40 
28 30 
29 40 
30 40 
31 40 
32 40 
33 70 
34 60 
35 30 
36 50 
37 40 
38 40 
39 60 
40 50 
41 15 
42 40 
43 60 
44 30 
45 30 
46 60 
47 10 
48 30 
49 60 
50 30 
51 30 
52 30 
53 20 
54 40 
55 60 
56 40 
57 40 
58 40 
59 60 
60 60 
61 45 
62 30 
63 30 
64 30 
65 30 
66 25 
67 25 
68 40 
69 20 
70 30 
71 40 
72 30 
73 45 
74 45 
75 45 
76 45 
77 45 
78 45 
79 45 
80 45 
81 45 
82 45 
83 45 
84 45 
85 20 
86 40 
87 30 
88 30 
89 60 
90 40 
;

# Parameter
# Number of physiotherapists
param S := 4;

# Parameter
# T : Total daily capacity (minutes)
# There are four physiotherapists in this hospital who are working 5 days a week and 8 hours a working day
# Number of physioterapists * number of hours * number of minutes per hours
# 4 * 8 * 60
param T := 1920;



#  Priority of patients, which was categorized into three levels as high, normal and low
# param High :=  3;
# param Normal :=  2;
# param Low :=  1;

set priority_set := High Normal Low;

# Parameter
# p[i] : Weight of priority level for i-th patient
# param p := 1 Normal 2 High 3 Normal 4 Normal 5 Normal 6 Low 7 Low 8 Low 9 Low 10 High 11 High 12 High 13 High 14 High 15 High 16 Normal 17 Normal 18 Normal 19 High 20 High 21 High 22 Low 23 Low 24 Low 25 Normal 26 Normal 27 Normal 28 Normal 29 Normal 30 Normal 31 Low 32 Low 33 Low 34 High 35 High 36 Low 37 Low 38 High 39 Normal 40 Normal 41 Normal 42 Normal 43 Low 44 Low 45 Low 46 Low 47 High 48 High 49 High 50 High 51 High 52 Low 53 Low 54 Normal 55 Normal 56 Normal 57 Low 58 Low 59 Low 60 High 61 High 62 High 63 Normal 64 Normal 65 Normal 66 Normal 67 Low 68 Low 69 Low 70 Low 71 Normal 72 Normal 73 Normal 74 High 75 High 76 High 77 Normal 78 Normal 79 Normal 80 Normal 81 Low 82 Low 83 Low 84 Low 85 Normal 86 Normal 87 Normal 88 Low 89 Low 90 Low ;
param p :=
1 2 
2 3 
3 2 
4 2 
5 2 
6 1 
7 1 
8 1 
9 1 
10 3 
11 3 
12 3 
13 3 
14 3 
15 3 
16 2 
17 2 
18 2 
19 3 
20 3 
21 3 
22 1 
23 1 
24 1 
25 2 
26 2 
27 2 
28 2 
29 2 
30 2 
31 1 
32 1 
33 1 
34 3 
35 3 
36 1 
37 1 
38 3 
39 2 
40 2 
41 2 
42 2 
43 1 
44 1 
45 1 
46 1 
47 3 
48 3 
49 3 
50 3 
51 3 
52 1 
53 1 
54 2 
55 2 
56 2 
57 1 
58 1 
59 1 
60 3 
61 3 
62 3 
63 2 
64 2 
65 2 
66 2 
67 1 
68 1 
69 1 
70 1 
71 2 
72 2 
73 2 
74 3 
75 3 
76 3 
77 2 
78 2 
79 2 
80 2 
81 1 
82 1 
83 1 
84 1 
85 2 
86 2 
87 2 
88 1 
89 1 
90 1 
;
